Date,open,high,low,close,volume
2024-12-06,151.5,151.64999389648438,147.8000030517578,147.9499969482422,7673900
2024-12-09,148.85000610351562,152.5,148.1999969482422,151.5500030517578,6830660
2024-12-10,150.5500030517578,154.39999389648438,149.0,153.1999969482422,6085380
2024-12-11,149.39999389648438,149.6999969482422,144.39999389648438,144.9499969482422,9712160
2024-12-12,146.89999389648438,148.25,145.85000610351562,147.85000610351562,7339740
2024-12-13,144.75,147.39999389648438,142.4499969482422,144.64999389648438,8046100
2024-12-16,142.64999389648438,142.6999969482422,137.6999969482422,138.5,8711540
2024-12-17,139.89999389648438,141.64999389648438,139.0500030517578,140.35000610351562,7085380
2024-12-18,140.9499969482422,156.8000030517578,139.5500030517578,155.5,16992140
2024-12-19,151.39999389648438,158.0500030517578,150.89999389648438,157.75,14122260
2024-12-20,161.4499969482422,162.5,148.1999969482422,153.75,16181980
2024-12-23,148.35000610351562,151.3000030517578,145.10000610351562,145.39999389648438,7316360
2024-12-24,144.0,144.5,139.64999389648438,139.64999389648438,4584520
2024-12-26,141.0,142.60000610351562,138.6999969482422,140.0500030517578,5621180
2024-12-27,143.0500030517578,149.5500030517578,142.6999969482422,145.75,10221440
2024-12-30,151.75,154.85000610351562,148.5,151.6999969482422,9885860
2024-12-31,150.6999969482422,156.5,150.0,155.6999969482422,9700940
2025-01-02,152.89999389648438,160.8000030517578,150.75,156.6999969482422,12196260
2025-01-03,154.0,154.75,148.1999969482422,149.1999969482422,9790320
2025-01-06,144.5,146.25,141.14999389648438,144.0500030517578,9559100
2025-01-07,143.3000030517578,153.4499969482422,143.0,151.85000610351562,12434400
2025-01-08,152.0,156.0500030517578,150.39999389648438,151.75,12668320
2025-01-10,155.39999389648438,162.10000610351562,155.35000610351562,159.14999389648438,14137620
2025-01-13,164.89999389648438,166.39999389648438,160.39999389648438,160.75,9685600
2025-01-14,157.8000030517578,164.64999389648438,156.5500030517578,161.3000030517578,10532540
2025-01-15,153.8000030517578,155.3000030517578,149.1999969482422,150.39999389648438,13107900
2025-01-16,148.35000610351562,153.5500030517578,148.3000030517578,153.4499969482422,9035220
2025-01-17,144.9499969482422,148.5500030517578,144.4499969482422,145.9499969482422,11154500
2025-01-21,143.8000030517578,147.5,142.5,143.5,8584980
2025-01-22,139.75,139.9499969482422,136.14999389648438,138.0500030517578,9526980
2025-01-23,140.0500030517578,140.5,137.14999389648438,137.1999969482422,6938440
2025-01-24,137.14999389648438,140.89999389648438,136.5,139.64999389648438,6684980
2025-01-27,154.60000610351562,155.1999969482422,148.9499969482422,152.0,16994760
2025-01-28,151.10000610351562,154.1999969482422,144.1999969482422,145.1999969482422,10805520
2025-01-29,144.75,149.39999389648438,144.64999389648438,146.14999389648438,11526220
2025-01-30,143.75,148.39999389648438,141.8000030517578,144.25,9590200
